"metric" "n_bands" "simulation" "n" "method" "value"
"cv.time.user.self" "1" "23" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "23" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "23" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "23" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "23" "45" "LASSO" 1e-04
"n.cv.par" "1" "23" "45" "LASSO" 1e-04
"lambda" "7" "23" "45" "LASSO" 1e-04
"lambdar0" "7" "23" "45" "LASSO" 1e-04
"kappa" "7" "23" "45" "LASSO" 1e-04
"condnum" "7" "23" "45" "LASSO" 1e-04
"EL" "7" "23" "45" "LASSO" 1e-04
"RMSE" "7" "23" "45" "LASSO" 1e-04
"F1" "7" "23" "45" "LASSO" 1e-04
"eTPR" "7" "23" "45" "LASSO" 1e-04
"eTNR" "7" "23" "45" "LASSO" 1e-04
"ePPV" "7" "23" "45" "LASSO" 1e-04
"d" "7" "23" "45" "LASSO" 1e-04
"iters" "7" "23" "45" "LASSO" 1e-04
"time.user.self" "7" "23" "45" "LASSO" 1e-04
"time.sys.self" "7" "23" "45" "LASSO" 1e-04
"time.elapsed" "7" "23" "45" "LASSO" 1e-04
"time.user.child" "7" "23" "45" "LASSO" 1e-04
"time.sys.child" "7" "23" "45" "LASSO" 1e-04
"cv.iters" "7" "23" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "23" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "23" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "23" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "23" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "23" "45" "LASSO" 1e-04
"n.cv.par" "7" "23" "45" "LASSO" 1e-04
"lambda" "1" "24" "45" "LASSO" 1e-04
"lambdar0" "1" "24" "45" "LASSO" 1e-04
"kappa" "1" "24" "45" "LASSO" 1e-04
"condnum" "1" "24" "45" "LASSO" 1e-04
"EL" "1" "24" "45" "LASSO" 1e-04
"RMSE" "1" "24" "45" "LASSO" 1e-04
"F1" "1" "24" "45" "LASSO" 1e-04
"eTPR" "1" "24" "45" "LASSO" 1e-04
"eTNR" "1" "24" "45" "LASSO" 1e-04
"ePPV" "1" "24" "45" "LASSO" 1e-04
"d" "1" "24" "45" "LASSO" 1e-04
"iters" "1" "24" "45" "LASSO" 1e-04
"time.user.self" "1" "24" "45" "LASSO" 1e-04
"time.sys.self" "1" "24" "45" "LASSO" 1e-04
"time.elapsed" "1" "24" "45" "LASSO" 1e-04
"time.user.child" "1" "24" "45" "LASSO" 1e-04
"time.sys.child" "1" "24" "45" "LASSO" 1e-04
"cv.iters" "1" "24" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "24" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "24" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "24" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "24" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "24" "45" "LASSO" 1e-04
"n.cv.par" "1" "24" "45" "LASSO" 1e-04
"lambda" "7" "24" "45" "LASSO" 1e-04
"lambdar0" "7" "24" "45" "LASSO" 1e-04
"kappa" "7" "24" "45" "LASSO" 1e-04
"condnum" "7" "24" "45" "LASSO" 1e-04
"EL" "7" "24" "45" "LASSO" 1e-04
"RMSE" "7" "24" "45" "LASSO" 1e-04
"F1" "7" "24" "45" "LASSO" 1e-04
"eTPR" "7" "24" "45" "LASSO" 1e-04
"eTNR" "7" "24" "45" "LASSO" 1e-04
"ePPV" "7" "24" "45" "LASSO" 1e-04
"d" "7" "24" "45" "LASSO" 1e-04
"iters" "7" "24" "45" "LASSO" 1e-04
"time.user.self" "7" "24" "45" "LASSO" 1e-04
"time.sys.self" "7" "24" "45" "LASSO" 1e-04
"time.elapsed" "7" "24" "45" "LASSO" 1e-04
"time.user.child" "7" "24" "45" "LASSO" 1e-04
"time.sys.child" "7" "24" "45" "LASSO" 1e-04
"cv.iters" "7" "24" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "24" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "24" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "24" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "24" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "24" "45" "LASSO" 1e-04
"n.cv.par" "7" "24" "45" "LASSO" 1e-04
"lambda" "1" "25" "45" "LASSO" 1e-04
"lambdar0" "1" "25" "45" "LASSO" 1e-04
"kappa" "1" "25" "45" "LASSO" 1e-04
"condnum" "1" "25" "45" "LASSO" 1e-04
"EL" "1" "25" "45" "LASSO" 1e-04
"RMSE" "1" "25" "45" "LASSO" 1e-04
"F1" "1" "25" "45" "LASSO" 1e-04
"eTPR" "1" "25" "45" "LASSO" 1e-04
"eTNR" "1" "25" "45" "LASSO" 1e-04
"ePPV" "1" "25" "45" "LASSO" 1e-04
"d" "1" "25" "45" "LASSO" 1e-04
"iters" "1" "25" "45" "LASSO" 1e-04
"time.user.self" "1" "25" "45" "LASSO" 1e-04
"time.sys.self" "1" "25" "45" "LASSO" 1e-04
