"metric" "n_bands" "simulation" "n" "method" "value"
"lambda" "14" "21" "45" "LASSO" 1e-04
"lambdar0" "14" "21" "45" "LASSO" 1e-04
"kappa" "14" "21" "45" "LASSO" 1e-04
"condnum" "14" "21" "45" "LASSO" 1e-04
"EL" "14" "21" "45" "LASSO" 1e-04
"RMSE" "14" "21" "45" "LASSO" 1e-04
"F1" "14" "21" "45" "LASSO" 1e-04
"eTPR" "14" "21" "45" "LASSO" 1e-04
"eTNR" "14" "21" "45" "LASSO" 1e-04
"ePPV" "14" "21" "45" "LASSO" 1e-04
"d" "14" "21" "45" "LASSO" 1e-04
"iters" "14" "21" "45" "LASSO" 1e-04
"time.user.self" "14" "21" "45" "LASSO" 1e-04
"time.sys.self" "14" "21" "45" "LASSO" 1e-04
"time.elapsed" "14" "21" "45" "LASSO" 1e-04
"time.user.child" "14" "21" "45" "LASSO" 1e-04
"time.sys.child" "14" "21" "45" "LASSO" 1e-04
"cv.iters" "14" "21" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "21" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "21" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "21" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "21" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "21" "45" "LASSO" 1e-04
"n.cv.par" "14" "21" "45" "LASSO" 1e-04
"lambda" "14" "22" "45" "LASSO" 1e-04
"lambdar0" "14" "22" "45" "LASSO" 1e-04
"kappa" "14" "22" "45" "LASSO" 1e-04
"condnum" "14" "22" "45" "LASSO" 1e-04
"EL" "14" "22" "45" "LASSO" 1e-04
"RMSE" "14" "22" "45" "LASSO" 1e-04
"F1" "14" "22" "45" "LASSO" 1e-04
"eTPR" "14" "22" "45" "LASSO" 1e-04
"eTNR" "14" "22" "45" "LASSO" 1e-04
"ePPV" "14" "22" "45" "LASSO" 1e-04
"d" "14" "22" "45" "LASSO" 1e-04
"iters" "14" "22" "45" "LASSO" 1e-04
"time.user.self" "14" "22" "45" "LASSO" 1e-04
"time.sys.self" "14" "22" "45" "LASSO" 1e-04
"time.elapsed" "14" "22" "45" "LASSO" 1e-04
"time.user.child" "14" "22" "45" "LASSO" 1e-04
"time.sys.child" "14" "22" "45" "LASSO" 1e-04
"cv.iters" "14" "22" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "22" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "22" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "22" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "22" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "22" "45" "LASSO" 1e-04
"n.cv.par" "14" "22" "45" "LASSO" 1e-04
"lambda" "14" "23" "45" "LASSO" 1e-04
"lambdar0" "14" "23" "45" "LASSO" 1e-04
"kappa" "14" "23" "45" "LASSO" 1e-04
"condnum" "14" "23" "45" "LASSO" 1e-04
"EL" "14" "23" "45" "LASSO" 1e-04
"RMSE" "14" "23" "45" "LASSO" 1e-04
"F1" "14" "23" "45" "LASSO" 1e-04
"eTPR" "14" "23" "45" "LASSO" 1e-04
"eTNR" "14" "23" "45" "LASSO" 1e-04
"ePPV" "14" "23" "45" "LASSO" 1e-04
"d" "14" "23" "45" "LASSO" 1e-04
"iters" "14" "23" "45" "LASSO" 1e-04
"time.user.self" "14" "23" "45" "LASSO" 1e-04
"time.sys.self" "14" "23" "45" "LASSO" 1e-04
"time.elapsed" "14" "23" "45" "LASSO" 1e-04
"time.user.child" "14" "23" "45" "LASSO" 1e-04
"time.sys.child" "14" "23" "45" "LASSO" 1e-04
"cv.iters" "14" "23" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "23" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "23" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "23" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "23" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "23" "45" "LASSO" 1e-04
"n.cv.par" "14" "23" "45" "LASSO" 1e-04
"lambda" "14" "24" "45" "LASSO" 1e-04
"lambdar0" "14" "24" "45" "LASSO" 1e-04
"kappa" "14" "24" "45" "LASSO" 1e-04
"condnum" "14" "24" "45" "LASSO" 1e-04
"EL" "14" "24" "45" "LASSO" 1e-04
"RMSE" "14" "24" "45" "LASSO" 1e-04
"F1" "14" "24" "45" "LASSO" 1e-04
"eTPR" "14" "24" "45" "LASSO" 1e-04
"eTNR" "14" "24" "45" "LASSO" 1e-04
"ePPV" "14" "24" "45" "LASSO" 1e-04
"d" "14" "24" "45" "LASSO" 1e-04
"iters" "14" "24" "45" "LASSO" 1e-04
"time.user.self" "14" "24" "45" "LASSO" 1e-04
"time.sys.self" "14" "24" "45" "LASSO" 1e-04
"time.elapsed" "14" "24" "45" "LASSO" 1e-04
"time.user.child" "14" "24" "45" "LASSO" 1e-04
"time.sys.child" "14" "24" "45" "LASSO" 1e-04
"cv.iters" "14" "24" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "24" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "24" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "24" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "24" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "24" "45" "LASSO" 1e-04
"n.cv.par" "14" "24" "45" "LASSO" 1e-04
"lambda" "14" "25" "45" "LASSO" 1e-04
"lambdar0" "14" "25" "45" "LASSO" 1e-04
"kappa" "14" "25" "45" "LASSO" 1e-04
"condnum" "14" "25" "45" "LASSO" 1e-04
"EL" "14" "25" "45" "LASSO" 1e-04
"RMSE" "14" "25" "45" "LASSO" 1e-04
"F1" "14" "25" "45" "LASSO" 1e-04
"eTPR" "14" "25" "45" "LASSO" 1e-04
"eTNR" "14" "25" "45" "LASSO" 1e-04
"ePPV" "14" "25" "45" "LASSO" 1e-04
"d" "14" "25" "45" "LASSO" 1e-04
"iters" "14" "25" "45" "LASSO" 1e-04
"time.user.self" "14" "25" "45" "LASSO" 1e-04
"time.sys.self" "14" "25" "45" "LASSO" 1e-04
"time.elapsed" "14" "25" "45" "LASSO" 1e-04
"time.user.child" "14" "25" "45" "LASSO" 1e-04
"time.sys.child" "14" "25" "45" "LASSO" 1e-04
"cv.iters" "14" "25" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "25" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "25" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "25" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "25" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "25" "45" "LASSO" 1e-04
"n.cv.par" "14" "25" "45" "LASSO" 1e-04
"lambda" "14" "26" "45" "LASSO" 1e-04
"lambdar0" "14" "26" "45" "LASSO" 1e-04
"kappa" "14" "26" "45" "LASSO" 1e-04
"condnum" "14" "26" "45" "LASSO" 1e-04
"EL" "14" "26" "45" "LASSO" 1e-04
"RMSE" "14" "26" "45" "LASSO" 1e-04
"F1" "14" "26" "45" "LASSO" 1e-04
"eTPR" "14" "26" "45" "LASSO" 1e-04
"eTNR" "14" "26" "45" "LASSO" 1e-04
"ePPV" "14" "26" "45" "LASSO" 1e-04
"d" "14" "26" "45" "LASSO" 1e-04
"iters" "14" "26" "45" "LASSO" 1e-04
"time.user.self" "14" "26" "45" "LASSO" 1e-04
"time.sys.self" "14" "26" "45" "LASSO" 1e-04
"time.elapsed" "14" "26" "45" "LASSO" 1e-04
"time.user.child" "14" "26" "45" "LASSO" 1e-04
"time.sys.child" "14" "26" "45" "LASSO" 1e-04
"cv.iters" "14" "26" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "26" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "26" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "26" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "26" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "26" "45" "LASSO" 1e-04
