"metric" "n_bands" "simulation" "p" "method" "value"
"cv.all.time.user.child" "10" "4" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "4" "25" "LASSO" NA
"n.cv.par" "10" "4" "25" "LASSO" 20
"lambda" "10" "5" "25" "LASSO" 0
"lambdar0" "10" "5" "25" "LASSO" 0
"kappa" "10" "5" "25" "LASSO" 0
"condnum" "10" "5" "25" "LASSO" 25.3720328042443
"EL" "10" "5" "25" "LASSO" 0.109271672180984
"RMSE" "10" "5" "25" "LASSO" 0.0054832086157314
"F1" "10" "5" "25" "LASSO" 1
"eTPR" "10" "5" "25" "LASSO" 1
"eTNR" "10" "5" "25" "LASSO" 1
"ePPV" "10" "5" "25" "LASSO" 1
"d" "10" "5" "25" "LASSO" 0.65
"iters" "10" "5" "25" "LASSO" 14
"time.user.self" "10" "5" "25" "LASSO" 0.00999999999999091
"time.sys.self" "10" "5" "25" "LASSO" 0
"time.elapsed" "10" "5" "25" "LASSO" 0.00999999999999091
"time.user.child" "10" "5" "25" "LASSO" NA
"time.sys.child" "10" "5" "25" "LASSO" NA
"cv.iters" "10" "5" "25" "LASSO" NA
"cv.time.user.self" "10" "5" "25" "LASSO" 0.00390000000000327
"cv.time.sys.self" "10" "5" "25" "LASSO" 0
"cv.time.elapsed" "10" "5" "25" "LASSO" 0.00489999999999782
"cv.time.user.child" "10" "5" "25" "LASSO" NA
"cv.time.sys.child" "10" "5" "25" "LASSO" NA
"cv.all.time.user.self" "10" "5" "25" "LASSO" 0.390000000000327
"cv.all.time.sys.self" "10" "5" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "5" "25" "LASSO" 0.489999999999782
"cv.all.time.user.child" "10" "5" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "5" "25" "LASSO" NA
"n.cv.par" "10" "5" "25" "LASSO" 20
"lambda" "10" "6" "25" "LASSO" 0
"lambdar0" "10" "6" "25" "LASSO" 0
"kappa" "10" "6" "25" "LASSO" 0
"condnum" "10" "6" "25" "LASSO" 22.8747852191283
"EL" "10" "6" "25" "LASSO" 0.109465013989773
"RMSE" "10" "6" "25" "LASSO" 0.00575668820625756
"F1" "10" "6" "25" "LASSO" 1
"eTPR" "10" "6" "25" "LASSO" 1
"eTNR" "10" "6" "25" "LASSO" 1
"ePPV" "10" "6" "25" "LASSO" 1
"d" "10" "6" "25" "LASSO" 0.65
"iters" "10" "6" "25" "LASSO" 13
"time.user.self" "10" "6" "25" "LASSO" 0.0199999999999818
"time.sys.self" "10" "6" "25" "LASSO" 0
"time.elapsed" "10" "6" "25" "LASSO" 0.0299999999999727
"time.user.child" "10" "6" "25" "LASSO" NA
"time.sys.child" "10" "6" "25" "LASSO" NA
"cv.iters" "10" "6" "25" "LASSO" NA
"cv.time.user.self" "10" "6" "25" "LASSO" 0.00399999999999864
"cv.time.sys.self" "10" "6" "25" "LASSO" 0
"cv.time.elapsed" "10" "6" "25" "LASSO" 0.00440000000000055
"cv.time.user.child" "10" "6" "25" "LASSO" NA
"cv.time.sys.child" "10" "6" "25" "LASSO" NA
"cv.all.time.user.self" "10" "6" "25" "LASSO" 0.399999999999864
"cv.all.time.sys.self" "10" "6" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "6" "25" "LASSO" 0.440000000000055
"cv.all.time.user.child" "10" "6" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "6" "25" "LASSO" NA
"n.cv.par" "10" "6" "25" "LASSO" 20
"lambda" "10" "7" "25" "LASSO" 0
"lambdar0" "10" "7" "25" "LASSO" 0
"kappa" "10" "7" "25" "LASSO" 0
"condnum" "10" "7" "25" "LASSO" 25.9894544643665
"EL" "10" "7" "25" "LASSO" 0.121969179117052
"RMSE" "10" "7" "25" "LASSO" 0.00548807177331684
"F1" "10" "7" "25" "LASSO" 1
"eTPR" "10" "7" "25" "LASSO" 1
"eTNR" "10" "7" "25" "LASSO" 1
"ePPV" "10" "7" "25" "LASSO" 1
"d" "10" "7" "25" "LASSO" 0.65
"iters" "10" "7" "25" "LASSO" 14
"time.user.self" "10" "7" "25" "LASSO" 0
"time.sys.self" "10" "7" "25" "LASSO" 0
"time.elapsed" "10" "7" "25" "LASSO" 0.00999999999999091
"time.user.child" "10" "7" "25" "LASSO" NA
"time.sys.child" "10" "7" "25" "LASSO" NA
"cv.iters" "10" "7" "25" "LASSO" NA
"cv.time.user.self" "10" "7" "25" "LASSO" 0.00479999999999563
"cv.time.sys.self" "10" "7" "25" "LASSO" 0
"cv.time.elapsed" "10" "7" "25" "LASSO" 0.00360000000000127
"cv.time.user.child" "10" "7" "25" "LASSO" NA
"cv.time.sys.child" "10" "7" "25" "LASSO" NA
"cv.all.time.user.self" "10" "7" "25" "LASSO" 0.479999999999563
"cv.all.time.sys.self" "10" "7" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "7" "25" "LASSO" 0.360000000000127
"cv.all.time.user.child" "10" "7" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "7" "25" "LASSO" NA
"n.cv.par" "10" "7" "25" "LASSO" 20
"lambda" "10" "8" "25" "LASSO" 0
"lambdar0" "10" "8" "25" "LASSO" 0
"kappa" "10" "8" "25" "LASSO" 0
"condnum" "10" "8" "25" "LASSO" 24.8690282295544
"EL" "10" "8" "25" "LASSO" 0.0991035820642274
"RMSE" "10" "8" "25" "LASSO" 0.00559628904545687
"F1" "10" "8" "25" "LASSO" 1
"eTPR" "10" "8" "25" "LASSO" 1
"eTNR" "10" "8" "25" "LASSO" 1
"ePPV" "10" "8" "25" "LASSO" 1
"d" "10" "8" "25" "LASSO" 0.65
"iters" "10" "8" "25" "LASSO" 14
"time.user.self" "10" "8" "25" "LASSO" 0.00999999999999091
"time.sys.self" "10" "8" "25" "LASSO" 0
"time.elapsed" "10" "8" "25" "LASSO" 0.00999999999999091
"time.user.child" "10" "8" "25" "LASSO" NA
"time.sys.child" "10" "8" "25" "LASSO" NA
"cv.iters" "10" "8" "25" "LASSO" NA
"cv.time.user.self" "10" "8" "25" "LASSO" 0.004699999999998
"cv.time.sys.self" "10" "8" "25" "LASSO" 0
"cv.time.elapsed" "10" "8" "25" "LASSO" 0.00509999999999991
"cv.time.user.child" "10" "8" "25" "LASSO" NA
"cv.time.sys.child" "10" "8" "25" "LASSO" NA
