"metric" "n_bands" "simulation" "p" "method" "value"
"cv.all.time.elapsed" "10" "2" "25" "LASSO" 1e-04
"cv.all.time.user.child" "10" "2" "25" "LASSO" 1e-04
"cv.all.time.sys.child" "10" "2" "25" "LASSO" 1e-04
"n.cv.par" "10" "2" "25" "LASSO" 1e-04
"lambda" "3" "3" "25" "LASSO" 0.00535060456262957
"lambdar0" "3" "3" "25" "LASSO" 0.1
"kappa" "3" "3" "25" "LASSO" 0
"condnum" "3" "3" "25" "LASSO" 22.096789524049
"EL" "3" "3" "25" "LASSO" 0.0841491666101177
"RMSE" "3" "3" "25" "LASSO" 0.00355499866512075
"F1" "3" "3" "25" "LASSO" 1
"eTPR" "3" "3" "25" "LASSO" 1
"eTNR" "3" "3" "25" "LASSO" 1
"ePPV" "3" "3" "25" "LASSO" 1
"d" "3" "3" "25" "LASSO" 0.23
"iters" "3" "3" "25" "LASSO" 10
"time.user.self" "3" "3" "25" "LASSO" 0
"time.sys.self" "3" "3" "25" "LASSO" 0
"time.elapsed" "3" "3" "25" "LASSO" 0.0200000000000955
"time.user.child" "3" "3" "25" "LASSO" NA
"time.sys.child" "3" "3" "25" "LASSO" NA
"cv.iters" "3" "3" "25" "LASSO" NA
"cv.time.user.self" "3" "3" "25" "LASSO" 0.00340000000000089
"cv.time.sys.self" "3" "3" "25" "LASSO" 0
"cv.time.elapsed" "3" "3" "25" "LASSO" 0.0032000000000005
"cv.time.user.child" "3" "3" "25" "LASSO" NA
"cv.time.sys.child" "3" "3" "25" "LASSO" NA
"cv.all.time.user.self" "3" "3" "25" "LASSO" 0.340000000000089
"cv.all.time.sys.self" "3" "3" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "3" "25" "LASSO" 0.32000000000005
"cv.all.time.user.child" "3" "3" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "3" "25" "LASSO" NA
"n.cv.par" "3" "3" "25" "LASSO" 20
"lambda" "10" "3" "25" "LASSO" 1e-04
"lambdar0" "10" "3" "25" "LASSO" 1e-04
"kappa" "10" "3" "25" "LASSO" 1e-04
"condnum" "10" "3" "25" "LASSO" 1e-04
"EL" "10" "3" "25" "LASSO" 1e-04
"RMSE" "10" "3" "25" "LASSO" 1e-04
"F1" "10" "3" "25" "LASSO" 1e-04
"eTPR" "10" "3" "25" "LASSO" 1e-04
"eTNR" "10" "3" "25" "LASSO" 1e-04
"ePPV" "10" "3" "25" "LASSO" 1e-04
"d" "10" "3" "25" "LASSO" 1e-04
"iters" "10" "3" "25" "LASSO" 1e-04
"time.user.self" "10" "3" "25" "LASSO" 1e-04
"time.sys.self" "10" "3" "25" "LASSO" 1e-04
"time.elapsed" "10" "3" "25" "LASSO" 1e-04
"time.user.child" "10" "3" "25" "LASSO" 1e-04
"time.sys.child" "10" "3" "25" "LASSO" 1e-04
"cv.iters" "10" "3" "25" "LASSO" 1e-04
"cv.time.user.self" "10" "3" "25" "LASSO" 1e-04
"cv.time.sys.self" "10" "3" "25" "LASSO" 1e-04
"cv.time.elapsed" "10" "3" "25" "LASSO" 1e-04
"cv.time.user.child" "10" "3" "25" "LASSO" 1e-04
"cv.time.sys.child" "10" "3" "25" "LASSO" 1e-04
"cv.all.time.user.self" "10" "3" "25" "LASSO" 1e-04
"cv.all.time.sys.self" "10" "3" "25" "LASSO" 1e-04
"cv.all.time.elapsed" "10" "3" "25" "LASSO" 1e-04
"cv.all.time.user.child" "10" "3" "25" "LASSO" 1e-04
"cv.all.time.sys.child" "10" "3" "25" "LASSO" 1e-04
"n.cv.par" "10" "3" "25" "LASSO" 1e-04
"lambda" "3" "4" "25" "LASSO" 0.00519853357552554
"lambdar0" "3" "4" "25" "LASSO" 0.1
"kappa" "3" "4" "25" "LASSO" 0
"condnum" "3" "4" "25" "LASSO" 23.851198156273
"EL" "3" "4" "25" "LASSO" 0.0885870606330315
"RMSE" "3" "4" "25" "LASSO" 0.00383807193520756
"F1" "3" "4" "25" "LASSO" 1
"eTPR" "3" "4" "25" "LASSO" 1
"eTNR" "3" "4" "25" "LASSO" 1
"ePPV" "3" "4" "25" "LASSO" 1
"d" "3" "4" "25" "LASSO" 0.23
"iters" "3" "4" "25" "LASSO" 10
"time.user.self" "3" "4" "25" "LASSO" 0.0199999999999818
"time.sys.self" "3" "4" "25" "LASSO" 0
"time.elapsed" "3" "4" "25" "LASSO" 0
"time.user.child" "3" "4" "25" "LASSO" NA
"time.sys.child" "3" "4" "25" "LASSO" NA
"cv.iters" "3" "4" "25" "LASSO" NA
"cv.time.user.self" "3" "4" "25" "LASSO" 0.00220000000000084
"cv.time.sys.self" "3" "4" "25" "LASSO" 0
"cv.time.elapsed" "3" "4" "25" "LASSO" 0.00250000000000114
"cv.time.user.child" "3" "4" "25" "LASSO" NA
"cv.time.sys.child" "3" "4" "25" "LASSO" NA
"cv.all.time.user.self" "3" "4" "25" "LASSO" 0.220000000000084
"cv.all.time.sys.self" "3" "4" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "4" "25" "LASSO" 0.250000000000114
"cv.all.time.user.child" "3" "4" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "4" "25" "LASSO" NA
"n.cv.par" "3" "4" "25" "LASSO" 20
"lambda" "10" "4" "25" "LASSO" 1e-04
"lambdar0" "10" "4" "25" "LASSO" 1e-04
"kappa" "10" "4" "25" "LASSO" 1e-04
"condnum" "10" "4" "25" "LASSO" 1e-04
"EL" "10" "4" "25" "LASSO" 1e-04
"RMSE" "10" "4" "25" "LASSO" 1e-04
"F1" "10" "4" "25" "LASSO" 1e-04
"eTPR" "10" "4" "25" "LASSO" 1e-04
"eTNR" "10" "4" "25" "LASSO" 1e-04
"ePPV" "10" "4" "25" "LASSO" 1e-04
"d" "10" "4" "25" "LASSO" 1e-04
"iters" "10" "4" "25" "LASSO" 1e-04
"time.user.self" "10" "4" "25" "LASSO" 1e-04
"time.sys.self" "10" "4" "25" "LASSO" 1e-04
"time.elapsed" "10" "4" "25" "LASSO" 1e-04
"time.user.child" "10" "4" "25" "LASSO" 1e-04
"time.sys.child" "10" "4" "25" "LASSO" 1e-04
"cv.iters" "10" "4" "25" "LASSO" 1e-04
"cv.time.user.self" "10" "4" "25" "LASSO" 1e-04
"cv.time.sys.self" "10" "4" "25" "LASSO" 1e-04
"cv.time.elapsed" "10" "4" "25" "LASSO" 1e-04
"cv.time.user.child" "10" "4" "25" "LASSO" 1e-04
"cv.time.sys.child" "10" "4" "25" "LASSO" 1e-04
"cv.all.time.user.self" "10" "4" "25" "LASSO" 1e-04
"cv.all.time.sys.self" "10" "4" "25" "LASSO" 1e-04
"cv.all.time.elapsed" "10" "4" "25" "LASSO" 1e-04
"cv.all.time.user.child" "10" "4" "25" "LASSO" 1e-04
"cv.all.time.sys.child" "10" "4" "25" "LASSO" 1e-04
"n.cv.par" "10" "4" "25" "LASSO" 1e-04
"lambda" "3" "5" "25" "LASSO" 0.00560439251557263
"lambdar0" "3" "5" "25" "LASSO" 0.1
"kappa" "3" "5" "25" "LASSO" 0
"condnum" "3" "5" "25" "LASSO" 23.4977193565403
"EL" "3" "5" "25" "LASSO" 0.092152161797987
"RMSE" "3" "5" "25" "LASSO" 0.00384203729315658
"F1" "3" "5" "25" "LASSO" 1
"eTPR" "3" "5" "25" "LASSO" 1
"eTNR" "3" "5" "25" "LASSO" 1
"ePPV" "3" "5" "25" "LASSO" 1
"d" "3" "5" "25" "LASSO" 0.23
"iters" "3" "5" "25" "LASSO" 10
"time.user.self" "3" "5" "25" "LASSO" 0
"time.sys.self" "3" "5" "25" "LASSO" 0
"time.elapsed" "3" "5" "25" "LASSO" 0
"time.user.child" "3" "5" "25" "LASSO" NA
"time.sys.child" "3" "5" "25" "LASSO" NA
"cv.iters" "3" "5" "25" "LASSO" NA
"cv.time.user.self" "3" "5" "25" "LASSO" 0.00220000000000255
"cv.time.sys.self" "3" "5" "25" "LASSO" 0
"cv.time.elapsed" "3" "5" "25" "LASSO" 0.00290000000000077
"cv.time.user.child" "3" "5" "25" "LASSO" NA
"cv.time.sys.child" "3" "5" "25" "LASSO" NA
"cv.all.time.user.self" "3" "5" "25" "LASSO" 0.220000000000255
"cv.all.time.sys.self" "3" "5" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "5" "25" "LASSO" 0.290000000000077
"cv.all.time.user.child" "3" "5" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "5" "25" "LASSO" NA
"n.cv.par" "3" "5" "25" "LASSO" 20
"lambda" "10" "5" "25" "LASSO" 1e-04
"lambdar0" "10" "5" "25" "LASSO" 1e-04
"kappa" "10" "5" "25" "LASSO" 1e-04
"condnum" "10" "5" "25" "LASSO" 1e-04
"EL" "10" "5" "25" "LASSO" 1e-04
"RMSE" "10" "5" "25" "LASSO" 1e-04
"F1" "10" "5" "25" "LASSO" 1e-04
"eTPR" "10" "5" "25" "LASSO" 1e-04
"eTNR" "10" "5" "25" "LASSO" 1e-04
"ePPV" "10" "5" "25" "LASSO" 1e-04
"d" "10" "5" "25" "LASSO" 1e-04
"iters" "10" "5" "25" "LASSO" 1e-04
"time.user.self" "10" "5" "25" "LASSO" 1e-04
"time.sys.self" "10" "5" "25" "LASSO" 1e-04
"time.elapsed" "10" "5" "25" "LASSO" 1e-04
"time.user.child" "10" "5" "25" "LASSO" 1e-04
"time.sys.child" "10" "5" "25" "LASSO" 1e-04
"cv.iters" "10" "5" "25" "LASSO" 1e-04
"cv.time.user.self" "10" "5" "25" "LASSO" 1e-04
"cv.time.sys.self" "10" "5" "25" "LASSO" 1e-04
"cv.time.elapsed" "10" "5" "25" "LASSO" 1e-04
"cv.time.user.child" "10" "5" "25" "LASSO" 1e-04
"cv.time.sys.child" "10" "5" "25" "LASSO" 1e-04
"cv.all.time.user.self" "10" "5" "25" "LASSO" 1e-04
"cv.all.time.sys.self" "10" "5" "25" "LASSO" 1e-04
"cv.all.time.elapsed" "10" "5" "25" "LASSO" 1e-04
"cv.all.time.user.child" "10" "5" "25" "LASSO" 1e-04
"cv.all.time.sys.child" "10" "5" "25" "LASSO" 1e-04
"n.cv.par" "10" "5" "25" "LASSO" 1e-04
"lambda" "3" "6" "25" "LASSO" 0.00541772189275534
"lambdar0" "3" "6" "25" "LASSO" 0.1
"kappa" "3" "6" "25" "LASSO" 0
"condnum" "3" "6" "25" "LASSO" 22.2308127649238
"EL" "3" "6" "25" "LASSO" 0.101095166830845
"RMSE" "3" "6" "25" "LASSO" 0.0041939922855789
"F1" "3" "6" "25" "LASSO" 1
"eTPR" "3" "6" "25" "LASSO" 1
"eTNR" "3" "6" "25" "LASSO" 1
"ePPV" "3" "6" "25" "LASSO" 1
"d" "3" "6" "25" "LASSO" 0.23
"iters" "3" "6" "25" "LASSO" 10
"time.user.self" "3" "6" "25" "LASSO" 0
"time.sys.self" "3" "6" "25" "LASSO" 0
"time.elapsed" "3" "6" "25" "LASSO" 0
"time.user.child" "3" "6" "25" "LASSO" NA
"time.sys.child" "3" "6" "25" "LASSO" NA
"cv.iters" "3" "6" "25" "LASSO" NA
"cv.time.user.self" "3" "6" "25" "LASSO" 0.00299999999999841
"cv.time.sys.self" "3" "6" "25" "LASSO" 0
"cv.time.elapsed" "3" "6" "25" "LASSO" 0.00300000000000182
"cv.time.user.child" "3" "6" "25" "LASSO" NA
"cv.time.sys.child" "3" "6" "25" "LASSO" NA
"cv.all.time.user.self" "3" "6" "25" "LASSO" 0.299999999999841
"cv.all.time.sys.self" "3" "6" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "6" "25" "LASSO" 0.300000000000182
"cv.all.time.user.child" "3" "6" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "6" "25" "LASSO" NA
"n.cv.par" "3" "6" "25" "LASSO" 20
"lambda" "10" "6" "25" "LASSO" 1e-04
"lambdar0" "10" "6" "25" "LASSO" 1e-04
"kappa" "10" "6" "25" "LASSO" 1e-04
"condnum" "10" "6" "25" "LASSO" 1e-04
"EL" "10" "6" "25" "LASSO" 1e-04
"RMSE" "10" "6" "25" "LASSO" 1e-04
"F1" "10" "6" "25" "LASSO" 1e-04
"eTPR" "10" "6" "25" "LASSO" 1e-04
"eTNR" "10" "6" "25" "LASSO" 1e-04
"ePPV" "10" "6" "25" "LASSO" 1e-04
"d" "10" "6" "25" "LASSO" 1e-04
"iters" "10" "6" "25" "LASSO" 1e-04
"time.user.self" "10" "6" "25" "LASSO" 1e-04
"time.sys.self" "10" "6" "25" "LASSO" 1e-04
"time.elapsed" "10" "6" "25" "LASSO" 1e-04
"time.user.child" "10" "6" "25" "LASSO" 1e-04
"time.sys.child" "10" "6" "25" "LASSO" 1e-04
"cv.iters" "10" "6" "25" "LASSO" 1e-04
"cv.time.user.self" "10" "6" "25" "LASSO" 1e-04
"cv.time.sys.self" "10" "6" "25" "LASSO" 1e-04
"cv.time.elapsed" "10" "6" "25" "LASSO" 1e-04
"cv.time.user.child" "10" "6" "25" "LASSO" 1e-04
"cv.time.sys.child" "10" "6" "25" "LASSO" 1e-04
"cv.all.time.user.self" "10" "6" "25" "LASSO" 1e-04
"cv.all.time.sys.self" "10" "6" "25" "LASSO" 1e-04
"cv.all.time.elapsed" "10" "6" "25" "LASSO" 1e-04
"cv.all.time.user.child" "10" "6" "25" "LASSO" 1e-04
"cv.all.time.sys.child" "10" "6" "25" "LASSO" 1e-04
"n.cv.par" "10" "6" "25" "LASSO" 1e-04
"lambda" "3" "7" "25" "LASSO" 0.00542935000303284
"lambdar0" "3" "7" "25" "LASSO" 0.1
"kappa" "3" "7" "25" "LASSO" 0
"condnum" "3" "7" "25" "LASSO" 21.5026523137215
"EL" "3" "7" "25" "LASSO" 0.0951980859836645
"RMSE" "3" "7" "25" "LASSO" 0.0040271477108017
"F1" "3" "7" "25" "LASSO" 1
"eTPR" "3" "7" "25" "LASSO" 1
"eTNR" "3" "7" "25" "LASSO" 1
"ePPV" "3" "7" "25" "LASSO" 1
"d" "3" "7" "25" "LASSO" 0.23
"iters" "3" "7" "25" "LASSO" 10
"time.user.self" "3" "7" "25" "LASSO" 0
"time.sys.self" "3" "7" "25" "LASSO" 0
"time.elapsed" "3" "7" "25" "LASSO" 0
"time.user.child" "3" "7" "25" "LASSO" NA
"time.sys.child" "3" "7" "25" "LASSO" NA
"cv.iters" "3" "7" "25" "LASSO" NA
"cv.time.user.self" "3" "7" "25" "LASSO" 0.00260000000000332
"cv.time.sys.self" "3" "7" "25" "LASSO" 0
"cv.time.elapsed" "3" "7" "25" "LASSO" 0.00279999999999973
"cv.time.user.child" "3" "7" "25" "LASSO" NA
"cv.time.sys.child" "3" "7" "25" "LASSO" NA
"cv.all.time.user.self" "3" "7" "25" "LASSO" 0.260000000000332
"cv.all.time.sys.self" "3" "7" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "7" "25" "LASSO" 0.279999999999973
"cv.all.time.user.child" "3" "7" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "7" "25" "LASSO" NA
"n.cv.par" "3" "7" "25" "LASSO" 20
"lambda" "10" "7" "25" "LASSO" 1e-04
"lambdar0" "10" "7" "25" "LASSO" 1e-04
"kappa" "10" "7" "25" "LASSO" 1e-04
"condnum" "10" "7" "25" "LASSO" 1e-04
"EL" "10" "7" "25" "LASSO" 1e-04
"RMSE" "10" "7" "25" "LASSO" 1e-04
"F1" "10" "7" "25" "LASSO" 1e-04
"eTPR" "10" "7" "25" "LASSO" 1e-04
"eTNR" "10" "7" "25" "LASSO" 1e-04
"ePPV" "10" "7" "25" "LASSO" 1e-04
"d" "10" "7" "25" "LASSO" 1e-04
"iters" "10" "7" "25" "LASSO" 1e-04
"time.user.self" "10" "7" "25" "LASSO" 1e-04
"time.sys.self" "10" "7" "25" "LASSO" 1e-04
"time.elapsed" "10" "7" "25" "LASSO" 1e-04
"time.user.child" "10" "7" "25" "LASSO" 1e-04
"time.sys.child" "10" "7" "25" "LASSO" 1e-04
"cv.iters" "10" "7" "25" "LASSO" 1e-04
"cv.time.user.self" "10" "7" "25" "LASSO" 1e-04
"cv.time.sys.self" "10" "7" "25" "LASSO" 1e-04
"cv.time.elapsed" "10" "7" "25" "LASSO" 1e-04
"cv.time.user.child" "10" "7" "25" "LASSO" 1e-04
"cv.time.sys.child" "10" "7" "25" "LASSO" 1e-04
"cv.all.time.user.self" "10" "7" "25" "LASSO" 1e-04
"cv.all.time.sys.self" "10" "7" "25" "LASSO" 1e-04
"cv.all.time.elapsed" "10" "7" "25" "LASSO" 1e-04
"cv.all.time.user.child" "10" "7" "25" "LASSO" 1e-04
"cv.all.time.sys.child" "10" "7" "25" "LASSO" 1e-04
"n.cv.par" "10" "7" "25" "LASSO" 1e-04
"lambda" "3" "8" "25" "LASSO" 0.00530206987997884
"lambdar0" "3" "8" "25" "LASSO" 0.1
"kappa" "3" "8" "25" "LASSO" 0
"condnum" "3" "8" "25" "LASSO" 23.0770803173489
"EL" "3" "8" "25" "LASSO" 0.0773589863695356
"RMSE" "3" "8" "25" "LASSO" 0.00362984408023161
"F1" "3" "8" "25" "LASSO" 1
"eTPR" "3" "8" "25" "LASSO" 1
"eTNR" "3" "8" "25" "LASSO" 1
"ePPV" "3" "8" "25" "LASSO" 1
"d" "3" "8" "25" "LASSO" 0.23
"iters" "3" "8" "25" "LASSO" 10
"time.user.self" "3" "8" "25" "LASSO" 0.0199999999999818
"time.sys.self" "3" "8" "25" "LASSO" 0
"time.elapsed" "3" "8" "25" "LASSO" 0
"time.user.child" "3" "8" "25" "LASSO" NA
"time.sys.child" "3" "8" "25" "LASSO" NA
"cv.iters" "3" "8" "25" "LASSO" NA
"cv.time.user.self" "3" "8" "25" "LASSO" 0.00210000000000036
"cv.time.sys.self" "3" "8" "25" "LASSO" 0
"cv.time.elapsed" "3" "8" "25" "LASSO" 0.00229999999999791
"cv.time.user.child" "3" "8" "25" "LASSO" NA
"cv.time.sys.child" "3" "8" "25" "LASSO" NA
"cv.all.time.user.self" "3" "8" "25" "LASSO" 0.210000000000036
"cv.all.time.sys.self" "3" "8" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "8" "25" "LASSO" 0.229999999999791
"cv.all.time.user.child" "3" "8" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "8" "25" "LASSO" NA
"n.cv.par" "3" "8" "25" "LASSO" 20
"lambda" "10" "8" "25" "LASSO" 1e-04
"lambdar0" "10" "8" "25" "LASSO" 1e-04
"kappa" "10" "8" "25" "LASSO" 1e-04
"condnum" "10" "8" "25" "LASSO" 1e-04
"EL" "10" "8" "25" "LASSO" 1e-04
"RMSE" "10" "8" "25" "LASSO" 1e-04
"F1" "10" "8" "25" "LASSO" 1e-04
"eTPR" "10" "8" "25" "LASSO" 1e-04
"eTNR" "10" "8" "25" "LASSO" 1e-04
"ePPV" "10" "8" "25" "LASSO" 1e-04
"d" "10" "8" "25" "LASSO" 1e-04
"iters" "10" "8" "25" "LASSO" 1e-04
"time.user.self" "10" "8" "25" "LASSO" 1e-04
"time.sys.self" "10" "8" "25" "LASSO" 1e-04
"time.elapsed" "10" "8" "25" "LASSO" 1e-04
"time.user.child" "10" "8" "25" "LASSO" 1e-04
"time.sys.child" "10" "8" "25" "LASSO" 1e-04
"cv.iters" "10" "8" "25" "LASSO" 1e-04
"cv.time.user.self" "10" "8" "25" "LASSO" 1e-04
"cv.time.sys.self" "10" "8" "25" "LASSO" 1e-04
"cv.time.elapsed" "10" "8" "25" "LASSO" 1e-04
"cv.time.user.child" "10" "8" "25" "LASSO" 1e-04
"cv.time.sys.child" "10" "8" "25" "LASSO" 1e-04
"cv.all.time.user.self" "10" "8" "25" "LASSO" 1e-04
"cv.all.time.sys.self" "10" "8" "25" "LASSO" 1e-04
"cv.all.time.elapsed" "10" "8" "25" "LASSO" 1e-04
"cv.all.time.user.child" "10" "8" "25" "LASSO" 1e-04
"cv.all.time.sys.child" "10" "8" "25" "LASSO" 1e-04
"n.cv.par" "10" "8" "25" "LASSO" 1e-04
"lambda" "3" "9" "25" "LASSO" 0.00513279145674527
"lambdar0" "3" "9" "25" "LASSO" 0.1
"kappa" "3" "9" "25" "LASSO" 0
"condnum" "3" "9" "25" "LASSO" 23.1986665838872
"EL" "3" "9" "25" "LASSO" 0.080530495419957
"RMSE" "3" "9" "25" "LASSO" 0.00352219312342782
"F1" "3" "9" "25" "LASSO" 1
"eTPR" "3" "9" "25" "LASSO" 1
"eTNR" "3" "9" "25" "LASSO" 1
"ePPV" "3" "9" "25" "LASSO" 1
"d" "3" "9" "25" "LASSO" 0.23
"iters" "3" "9" "25" "LASSO" 10
"time.user.self" "3" "9" "25" "LASSO" 0.0200000000002092
"time.sys.self" "3" "9" "25" "LASSO" 0
"time.elapsed" "3" "9" "25" "LASSO" 0
"time.user.child" "3" "9" "25" "LASSO" NA
"time.sys.child" "3" "9" "25" "LASSO" NA
"cv.iters" "3" "9" "25" "LASSO" NA
"cv.time.user.self" "3" "9" "25" "LASSO" 0.00259999999999991
"cv.time.sys.self" "3" "9" "25" "LASSO" 0
"cv.time.elapsed" "3" "9" "25" "LASSO" 0.00300000000000409
"cv.time.user.child" "3" "9" "25" "LASSO" NA
"cv.time.sys.child" "3" "9" "25" "LASSO" NA
"cv.all.time.user.self" "3" "9" "25" "LASSO" 0.259999999999991
"cv.all.time.sys.self" "3" "9" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "9" "25" "LASSO" 0.300000000000409
