"metric" "n_bands" "simulation" "n" "method" "value"
"cv.time.user.self" "14" "5" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "5" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "5" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "5" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "5" "45" "LASSO" 1e-04
"n.cv.par" "14" "5" "45" "LASSO" 1e-04
"lambda" "14" "6" "45" "LASSO" 1e-04
"lambdar0" "14" "6" "45" "LASSO" 1e-04
"kappa" "14" "6" "45" "LASSO" 1e-04
"condnum" "14" "6" "45" "LASSO" 1e-04
"EL" "14" "6" "45" "LASSO" 1e-04
"RMSE" "14" "6" "45" "LASSO" 1e-04
"F1" "14" "6" "45" "LASSO" 1e-04
"eTPR" "14" "6" "45" "LASSO" 1e-04
"eTNR" "14" "6" "45" "LASSO" 1e-04
"ePPV" "14" "6" "45" "LASSO" 1e-04
"d" "14" "6" "45" "LASSO" 1e-04
"iters" "14" "6" "45" "LASSO" 1e-04
"time.user.self" "14" "6" "45" "LASSO" 1e-04
"time.sys.self" "14" "6" "45" "LASSO" 1e-04
"time.elapsed" "14" "6" "45" "LASSO" 1e-04
"time.user.child" "14" "6" "45" "LASSO" 1e-04
"time.sys.child" "14" "6" "45" "LASSO" 1e-04
"cv.iters" "14" "6" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "6" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "6" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "6" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "6" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "6" "45" "LASSO" 1e-04
"n.cv.par" "14" "6" "45" "LASSO" 1e-04
"lambda" "14" "7" "45" "LASSO" 1e-04
"lambdar0" "14" "7" "45" "LASSO" 1e-04
"kappa" "14" "7" "45" "LASSO" 1e-04
"condnum" "14" "7" "45" "LASSO" 1e-04
"EL" "14" "7" "45" "LASSO" 1e-04
"RMSE" "14" "7" "45" "LASSO" 1e-04
"F1" "14" "7" "45" "LASSO" 1e-04
"eTPR" "14" "7" "45" "LASSO" 1e-04
"eTNR" "14" "7" "45" "LASSO" 1e-04
"ePPV" "14" "7" "45" "LASSO" 1e-04
"d" "14" "7" "45" "LASSO" 1e-04
"iters" "14" "7" "45" "LASSO" 1e-04
"time.user.self" "14" "7" "45" "LASSO" 1e-04
"time.sys.self" "14" "7" "45" "LASSO" 1e-04
"time.elapsed" "14" "7" "45" "LASSO" 1e-04
"time.user.child" "14" "7" "45" "LASSO" 1e-04
"time.sys.child" "14" "7" "45" "LASSO" 1e-04
"cv.iters" "14" "7" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "7" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "7" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "7" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "7" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "7" "45" "LASSO" 1e-04
"n.cv.par" "14" "7" "45" "LASSO" 1e-04
"lambda" "14" "8" "45" "LASSO" 1e-04
"lambdar0" "14" "8" "45" "LASSO" 1e-04
"kappa" "14" "8" "45" "LASSO" 1e-04
"condnum" "14" "8" "45" "LASSO" 1e-04
"EL" "14" "8" "45" "LASSO" 1e-04
"RMSE" "14" "8" "45" "LASSO" 1e-04
"F1" "14" "8" "45" "LASSO" 1e-04
"eTPR" "14" "8" "45" "LASSO" 1e-04
"eTNR" "14" "8" "45" "LASSO" 1e-04
"ePPV" "14" "8" "45" "LASSO" 1e-04
"d" "14" "8" "45" "LASSO" 1e-04
"iters" "14" "8" "45" "LASSO" 1e-04
"time.user.self" "14" "8" "45" "LASSO" 1e-04
"time.sys.self" "14" "8" "45" "LASSO" 1e-04
"time.elapsed" "14" "8" "45" "LASSO" 1e-04
"time.user.child" "14" "8" "45" "LASSO" 1e-04
"time.sys.child" "14" "8" "45" "LASSO" 1e-04
"cv.iters" "14" "8" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "8" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "8" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "8" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "8" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "8" "45" "LASSO" 1e-04
"n.cv.par" "14" "8" "45" "LASSO" 1e-04
"lambda" "14" "9" "45" "LASSO" 1e-04
"lambdar0" "14" "9" "45" "LASSO" 1e-04
"kappa" "14" "9" "45" "LASSO" 1e-04
"condnum" "14" "9" "45" "LASSO" 1e-04
"EL" "14" "9" "45" "LASSO" 1e-04
"RMSE" "14" "9" "45" "LASSO" 1e-04
"F1" "14" "9" "45" "LASSO" 1e-04
"eTPR" "14" "9" "45" "LASSO" 1e-04
"eTNR" "14" "9" "45" "LASSO" 1e-04
"ePPV" "14" "9" "45" "LASSO" 1e-04
"d" "14" "9" "45" "LASSO" 1e-04
"iters" "14" "9" "45" "LASSO" 1e-04
"time.user.self" "14" "9" "45" "LASSO" 1e-04
"time.sys.self" "14" "9" "45" "LASSO" 1e-04
"time.elapsed" "14" "9" "45" "LASSO" 1e-04
"time.user.child" "14" "9" "45" "LASSO" 1e-04
"time.sys.child" "14" "9" "45" "LASSO" 1e-04
"cv.iters" "14" "9" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "9" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "9" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "9" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "9" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "9" "45" "LASSO" 1e-04
"n.cv.par" "14" "9" "45" "LASSO" 1e-04
"lambda" "14" "10" "45" "LASSO" 1e-04
"lambdar0" "14" "10" "45" "LASSO" 1e-04
"kappa" "14" "10" "45" "LASSO" 1e-04
"condnum" "14" "10" "45" "LASSO" 1e-04
"EL" "14" "10" "45" "LASSO" 1e-04
"RMSE" "14" "10" "45" "LASSO" 1e-04
"F1" "14" "10" "45" "LASSO" 1e-04
"eTPR" "14" "10" "45" "LASSO" 1e-04
"eTNR" "14" "10" "45" "LASSO" 1e-04
"ePPV" "14" "10" "45" "LASSO" 1e-04
"d" "14" "10" "45" "LASSO" 1e-04
"iters" "14" "10" "45" "LASSO" 1e-04
"time.user.self" "14" "10" "45" "LASSO" 1e-04
"time.sys.self" "14" "10" "45" "LASSO" 1e-04
"time.elapsed" "14" "10" "45" "LASSO" 1e-04
"time.user.child" "14" "10" "45" "LASSO" 1e-04
"time.sys.child" "14" "10" "45" "LASSO" 1e-04
"cv.iters" "14" "10" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "10" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "10" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "10" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "10" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "10" "45" "LASSO" 1e-04
"n.cv.par" "14" "10" "45" "LASSO" 1e-04
"lambda" "14" "11" "45" "LASSO" 1e-04
"lambdar0" "14" "11" "45" "LASSO" 1e-04
"kappa" "14" "11" "45" "LASSO" 1e-04
"condnum" "14" "11" "45" "LASSO" 1e-04
"EL" "14" "11" "45" "LASSO" 1e-04
"RMSE" "14" "11" "45" "LASSO" 1e-04
"F1" "14" "11" "45" "LASSO" 1e-04
"eTPR" "14" "11" "45" "LASSO" 1e-04
"eTNR" "14" "11" "45" "LASSO" 1e-04
"ePPV" "14" "11" "45" "LASSO" 1e-04
"d" "14" "11" "45" "LASSO" 1e-04
"iters" "14" "11" "45" "LASSO" 1e-04
"time.user.self" "14" "11" "45" "LASSO" 1e-04
"time.sys.self" "14" "11" "45" "LASSO" 1e-04
"time.elapsed" "14" "11" "45" "LASSO" 1e-04
"time.user.child" "14" "11" "45" "LASSO" 1e-04
"time.sys.child" "14" "11" "45" "LASSO" 1e-04
"cv.iters" "14" "11" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "11" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "11" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "11" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "11" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "11" "45" "LASSO" 1e-04
"n.cv.par" "14" "11" "45" "LASSO" 1e-04
"lambda" "14" "12" "45" "LASSO" 1e-04
"lambdar0" "14" "12" "45" "LASSO" 1e-04
"kappa" "14" "12" "45" "LASSO" 1e-04
"condnum" "14" "12" "45" "LASSO" 1e-04
"EL" "14" "12" "45" "LASSO" 1e-04
"RMSE" "14" "12" "45" "LASSO" 1e-04
"F1" "14" "12" "45" "LASSO" 1e-04
"eTPR" "14" "12" "45" "LASSO" 1e-04
"eTNR" "14" "12" "45" "LASSO" 1e-04
"ePPV" "14" "12" "45" "LASSO" 1e-04
"d" "14" "12" "45" "LASSO" 1e-04
"iters" "14" "12" "45" "LASSO" 1e-04
