"metric" "n_bands" "simulation" "n" "method" "value"
"time.user.child" "7" "4" "45" "LASSO" 1e-04
"time.sys.child" "7" "4" "45" "LASSO" 1e-04
"cv.iters" "7" "4" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "4" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "4" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "4" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "4" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "4" "45" "LASSO" 1e-04
"n.cv.par" "7" "4" "45" "LASSO" 1e-04
"lambda" "1" "5" "45" "LASSO" 1e-04
"lambdar0" "1" "5" "45" "LASSO" 1e-04
"kappa" "1" "5" "45" "LASSO" 1e-04
"condnum" "1" "5" "45" "LASSO" 1e-04
"EL" "1" "5" "45" "LASSO" 1e-04
"RMSE" "1" "5" "45" "LASSO" 1e-04
"F1" "1" "5" "45" "LASSO" 1e-04
"eTPR" "1" "5" "45" "LASSO" 1e-04
"eTNR" "1" "5" "45" "LASSO" 1e-04
"ePPV" "1" "5" "45" "LASSO" 1e-04
"d" "1" "5" "45" "LASSO" 1e-04
"iters" "1" "5" "45" "LASSO" 1e-04
"time.user.self" "1" "5" "45" "LASSO" 1e-04
"time.sys.self" "1" "5" "45" "LASSO" 1e-04
"time.elapsed" "1" "5" "45" "LASSO" 1e-04
"time.user.child" "1" "5" "45" "LASSO" 1e-04
"time.sys.child" "1" "5" "45" "LASSO" 1e-04
"cv.iters" "1" "5" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "5" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "5" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "5" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "5" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "5" "45" "LASSO" 1e-04
"n.cv.par" "1" "5" "45" "LASSO" 1e-04
"lambda" "7" "5" "45" "LASSO" 1e-04
"lambdar0" "7" "5" "45" "LASSO" 1e-04
"kappa" "7" "5" "45" "LASSO" 1e-04
"condnum" "7" "5" "45" "LASSO" 1e-04
"EL" "7" "5" "45" "LASSO" 1e-04
