"metric" "n_bands" "simulation" "n" "method" "value"
"RMSE" "B" "K" "A" "MLE" 1e-04
"kappa" "C" "K" "A" "MLE" 1e-04
"condnum" "C" "K" "A" "MLE" 1e-04
"EL" "C" "K" "A" "MLE" 1e-04
"RMSE" "C" "K" "A" "MLE" 1e-04
"kappa" "A" "L" "A" "MLE" 1e-04
"condnum" "A" "L" "A" "MLE" 1e-04
"EL" "A" "L" "A" "MLE" 1e-04
"RMSE" "A" "L" "A" "MLE" 1e-04
"kappa" "B" "L" "A" "MLE" 1e-04
"condnum" "B" "L" "A" "MLE" 1e-04
"EL" "B" "L" "A" "MLE" 1e-04
"RMSE" "B" "L" "A" "MLE" 1e-04
"kappa" "C" "L" "A" "MLE" 1e-04
"condnum" "C" "L" "A" "MLE" 1e-04
"EL" "C" "L" "A" "MLE" 1e-04
"RMSE" "C" "L" "A" "MLE" 1e-04
"kappa" "A" "M" "A" "MLE" 1e-04
"condnum" "A" "M" "A" "MLE" 1e-04
"EL" "A" "M" "A" "MLE" 1e-04
"RMSE" "A" "M" "A" "MLE" 1e-04
"kappa" "B" "M" "A" "MLE" 1e-04
"condnum" "B" "M" "A" "MLE" 1e-04
"EL" "B" "M" "A" "MLE" 1e-04
"RMSE" "B" "M" "A" "MLE" 1e-04
"kappa" "C" "M" "A" "MLE" 1e-04
"condnum" "C" "M" "A" "MLE" 1e-04
"EL" "C" "M" "A" "MLE" 1e-04
"RMSE" "C" "M" "A" "MLE" 1e-04
"kappa" "A" "N" "A" "MLE" 1e-04
"condnum" "A" "N" "A" "MLE" 1e-04
"EL" "A" "N" "A" "MLE" 1e-04
"RMSE" "A" "N" "A" "MLE" 1e-04
"kappa" "B" "N" "A" "MLE" 1e-04
"condnum" "B" "N" "A" "MLE" 1e-04
"EL" "B" "N" "A" "MLE" 1e-04
"RMSE" "B" "N" "A" "MLE" 1e-04
"kappa" "C" "N" "A" "MLE" 1e-04
"condnum" "C" "N" "A" "MLE" 1e-04
"EL" "C" "N" "A" "MLE" 1e-04
"RMSE" "C" "N" "A" "MLE" 1e-04
"kappa" "A" "O" "A" "MLE" 1e-04
"condnum" "A" "O" "A" "MLE" 1e-04
"EL" "A" "O" "A" "MLE" 1e-04
"RMSE" "A" "O" "A" "MLE" 1e-04
"kappa" "B" "O" "A" "MLE" 1e-04
"condnum" "B" "O" "A" "MLE" 1e-04
"EL" "B" "O" "A" "MLE" 1e-04
"RMSE" "B" "O" "A" "MLE" 1e-04
"kappa" "C" "O" "A" "MLE" 1e-04
"condnum" "C" "O" "A" "MLE" 1e-04
"EL" "C" "O" "A" "MLE" 1e-04
"RMSE" "C" "O" "A" "MLE" 1e-04
"kappa" "A" "P" "A" "MLE" 1e-04
"condnum" "A" "P" "A" "MLE" 1e-04
"EL" "A" "P" "A" "MLE" 1e-04
"RMSE" "A" "P" "A" "MLE" 1e-04
"kappa" "B" "P" "A" "MLE" 1e-04
"condnum" "B" "P" "A" "MLE" 1e-04
"EL" "B" "P" "A" "MLE" 1e-04
"RMSE" "B" "P" "A" "MLE" 1e-04
"kappa" "C" "P" "A" "MLE" 1e-04
"condnum" "C" "P" "A" "MLE" 1e-04
"EL" "C" "P" "A" "MLE" 1e-04
"RMSE" "C" "P" "A" "MLE" 1e-04
"kappa" "A" "Q" "A" "MLE" 1e-04
"condnum" "A" "Q" "A" "MLE" 1e-04
"EL" "A" "Q" "A" "MLE" 1e-04
"RMSE" "A" "Q" "A" "MLE" 1e-04
"kappa" "B" "Q" "A" "MLE" 1e-04
"condnum" "B" "Q" "A" "MLE" 1e-04
"EL" "B" "Q" "A" "MLE" 1e-04
"RMSE" "B" "Q" "A" "MLE" 1e-04
"kappa" "C" "Q" "A" "MLE" 1e-04
"condnum" "C" "Q" "A" "MLE" 1e-04
"EL" "C" "Q" "A" "MLE" 1e-04
"RMSE" "C" "Q" "A" "MLE" 1e-04
"kappa" "A" "R" "A" "MLE" 1e-04
"condnum" "A" "R" "A" "MLE" 1e-04
"EL" "A" "R" "A" "MLE" 1e-04
"RMSE" "A" "R" "A" "MLE" 1e-04
"kappa" "B" "R" "A" "MLE" 1e-04
"condnum" "B" "R" "A" "MLE" 1e-04
"EL" "B" "R" "A" "MLE" 1e-04
"RMSE" "B" "R" "A" "MLE" 1e-04
"kappa" "C" "R" "A" "MLE" 1e-04
"condnum" "C" "R" "A" "MLE" 1e-04
"EL" "C" "R" "A" "MLE" 1e-04
"RMSE" "C" "R" "A" "MLE" 1e-04
"kappa" "A" "S" "A" "MLE" 1e-04
"condnum" "A" "S" "A" "MLE" 1e-04
"EL" "A" "S" "A" "MLE" 1e-04
"RMSE" "A" "S" "A" "MLE" 1e-04
"kappa" "B" "S" "A" "MLE" 1e-04
"condnum" "B" "S" "A" "MLE" 1e-04
"EL" "B" "S" "A" "MLE" 1e-04
"RMSE" "B" "S" "A" "MLE" 1e-04
"kappa" "C" "S" "A" "MLE" 1e-04
"condnum" "C" "S" "A" "MLE" 1e-04
"EL" "C" "S" "A" "MLE" 1e-04
"RMSE" "C" "S" "A" "MLE" 1e-04
"kappa" "A" "T" "A" "MLE" 1e-04
"condnum" "A" "T" "A" "MLE" 1e-04
"EL" "A" "T" "A" "MLE" 1e-04
"RMSE" "A" "T" "A" "MLE" 1e-04
"kappa" "B" "T" "A" "MLE" 1e-04
"condnum" "B" "T" "A" "MLE" 1e-04
"EL" "B" "T" "A" "MLE" 1e-04
"RMSE" "B" "T" "A" "MLE" 1e-04
"kappa" "C" "T" "A" "MLE" 1e-04
"condnum" "C" "T" "A" "MLE" 1e-04
"EL" "C" "T" "A" "MLE" 1e-04
"RMSE" "C" "T" "A" "MLE" 1e-04
"kappa" "A" "U" "A" "MLE" 1e-04
"condnum" "A" "U" "A" "MLE" 1e-04
"EL" "A" "U" "A" "MLE" 1e-04
"RMSE" "A" "U" "A" "MLE" 1e-04
"kappa" "B" "U" "A" "MLE" 1e-04
"condnum" "B" "U" "A" "MLE" 1e-04
"EL" "B" "U" "A" "MLE" 1e-04
"RMSE" "B" "U" "A" "MLE" 1e-04
"kappa" "C" "U" "A" "MLE" 1e-04
"condnum" "C" "U" "A" "MLE" 1e-04
"EL" "C" "U" "A" "MLE" 1e-04
"RMSE" "C" "U" "A" "MLE" 1e-04
